WJ (A),,,,,,,,CH (B),,,,
 Number , Packet Number , Received Time , Last Received Time ,,,,,Number , Packet Number , Received Time , Last Received Time ,
0,1,0.054,0,,,,,0,1,0.078,0,
1,5,1.75,1.695,,,,,1,5,1.718,1.64,
2,23,8.921,7.171,,,,,2,17,8.96,7.242,
3,27,10.906,1.984,,,,,3,21,10.937,1.976,
4,34,14.109,3.203,,,,,4,36,20.609,9.671,
5,46,18.835,4.726,,,,,5,62,35.64,15.031,
6,56,24.328,5.492,,,,,6,69,38.945,3.304,
7,60,25.117,0.789,,,,,7,80,43.132,4.187,
8,62,26.242,1.125,,,,,8,85,46.148,3.015,
9,92,42.226,15.984,,,,,9,94,48.742,2.593,
10,99,46.117,3.89,,,,,10,129,67.343,18.601,
11,100,46.21,0.093,,,,,11,133,69.234,1.89,
12,104,47.515,1.304,,,,,12,138,71.203,1.968,
13,108,50.421,2.906,,,,,13,142,73.007,1.804,
14,132,62.726,12.304,,,,,14,143,73.023,0.015,
15,134,63.218,0.492,,,,,15,166,83.546,10.523,
16,139,67.312,4.093,,,,,16,177,87.937,4.39,
17,145,69.21,1.898,,,,,17,179,89.515,1.578,
18,153,73.039,3.828,,,,,18,184,90.343,0.828,
19,185,87.953,14.914,,,,,19,202,100.742,10.398,
20,187,89.531,1.578,,,,,20,205,102.039,1.296,
21,212,99.71,10.179,,,,,21,222,110.843,8.804,
22,215,102,2.289,,,,,22,235,116.46,5.617,
23,220,103.812,1.812,,,,,23,238,117.304,0.843,
24,246,116.414,12.601,,,,,24,240,118.328,1.023,
25,247,116.429,0.015,,,,,25,246,123.343,5.015,
26,256,118.195,1.765,,,,,26,259,130.648,7.304,
27,262,121.437,3.242,,,,,27,278,138.703,8.054,
28,276,128.718,7.281,,,,,28,291,146.414,7.71,
29,296,136.093,7.375,,,,,29,298,149.148,2.734,
30,297,137.109,1.015,,,,,30,299,150.835,1.687,
31,302,139.82,2.71,,,,,31,302,152.507,1.671,
32,304,140.335,0.515,,,,,32,310,154.148,1.64,
33,314,144.507,4.171,,,,,33,334,164.5,10.351,
34,317,146.429,1.921,,,,,34,366,176.218,11.718,
35,318,146.5,0.07,,,,,35,368,176.812,0.593,
36,323,149.085,2.585,,,,,36,381,184.82,8.007,
37,327,150.789,1.703,,,,,37,382,184.898,0.078,
38,352,165.187,14.398,,,,,38,392,190.023,5.125,
39,375,175.921,10.734,,,,,39,409,199.71,9.687,
40,376,176,0.078,,,,,40,411,200.437,0.726,
41,401,184.835,8.835,,,,,41,415,201.445,1.007,
42,416,192.421,7.585,,,,,42,418,203.14,1.695,
43,428,198.718,6.296,,,,,43,422,204.507,1.367,
44,432,199.781,1.062,,,,,44,423,206.601,2.093,
45,434,200.398,0.617,,,,,45,439,213.531,6.929,
46,435,200.453,0.054,,,,,46,452,219.531,6,
47,437,201.421,0.968,,,,,47,453,221.101,1.57,
48,443,203.078,1.664,,,,,48,454,221.21,0.109,
49,449,206.312,3.226,,,,,49,460,222.929,1.718,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,Experiment Number,Time to Receive from Startup,Mean,StdDev,Cumulative Dist,,,Number,Interval,Cumulative Dist,Mean,STDDEV
,1,3.101,4.08785,4.511543583,0.413426729,,,1,0.015,0.014863042,4.208877551,4.310439936
,2,1.601,4.08785,4.511543583,0.290741668,,,2,0.054,0.014863042,4.208877551,4.310439936
,3,3.601,4.08785,4.511543583,0.457032722,,,3,0.07,0.014863042,4.208877551,4.310439936
,4,1.007,4.08785,4.511543583,0.247340838,,,4,0.078,0.014863042,4.208877551,4.310439936
,5,2.703,4.08785,4.511543583,0.379438041,,,5,0.093,0.014863042,4.208877551,4.310439936
