WAKE_TIME = RTIMER/20 = 20HZ = 0.2s,,,,,,,,,,,,,,,,,,
Device A (WJ) hearing from B,,,,,,,,Device B (CH) hearing from A,,,,,,,,,,
Number, Packet Number, Received Time, Interval Between Receive,,,,,Number, Packet Number, Received Time, Interval Between Receive,,,,,Interval,Number,Probability
0,1,0.289,0,,,,,0,6,2.039,0,,,,,12,31,0.632653061
1,2,0.031,0.023,,,,,1,17,6.281,4.226,,,,,24,42,0.857142857
2,11,6.203,6.171,,,,,2,73,31.484,25.203,,,,,36,46,0.93877551
3,59,31.406,25.203,,,,,3,86,36.742,5.25,,,,,48,47,0.959183673
4,78,40.843,9.445,,,,,4,87,38.32,1.57,,,,,60,49,1
5,120,57.054,16.203,,,,,5,96,41.39,3.078,,,,,,,
6,123,59.804,2.75,,,,,6,122,56.031,14.632,,,,,,,
7,127,61.843,2.039,,,,,7,129,59.882,3.835,,,,,,,
8,176,87.164,25.32,,,,,8,131,61.539,1.648,,,,,,,
9,210,104.007,16.843,,,,,9,133,61.859,0.312,,,,,,,
10,221,108.164,4.156,,,,,10,186,87.531,25.687,,,,,,,
11,270,130.234,22.078,,,,,11,227,108.195,20.648,,,,,,,
12,272,131.484,1.25,,,,,12,316,149.859,41.664,,,,,,,
13,292,139.789,8.296,,,,,13,321,154.085,4.226,,,,,,,
14,319,154.007,14.218,,,,,14,336,160.757,6.671,,,,,,,
15,335,160.726,6.726,,,,,15,354,169.718,8.96,,,,,,,
16,346,165.617,4.882,,,,,16,384,182.343,12.625,,,,,,,
17,351,167.828,2.195,,,,,17,389,185.562,3.218,,,,,,,
18,395,187.195,19.359,,,,,18,390,185.593,0.031,,,,,,,
19,414,196.218,9.023,,,,,19,393,187.281,1.687,,,,,,,
20,428,205.242,9.007,,,,,20,416,197.945,10.664,,,,,,,
21,429,205.257,0.015,,,,,21,456,214.859,16.914,,,,,,,
22,487,234.109,28.851,,,,,22,507,236.687,21.828,,,,,,,
23,493,241.914,7.781,,,,,23,517,241.937,5.25,,,,,,,
24,503,241.937,0.007,,,,,24,543,252.929,10.992,,,,,,,
25,525,252.851,10.914,,,,,25,568,264.781,11.851,,,,,,,
26,530,254.898,2.046,,,,,26,604,281.765,16.992,,,,,,,
27,564,271.07,16.179,,,,,27,615,289.187,7.414,,,,,,,
28,579,281.671,10.593,,,,,28,628,294.171,4.984,,,,,,,
29,593,289.156,7.484,,,,,29,633,296.75,2.578,,,,,,,
30,607,296.718,7.554,,,,,30,646,303.304,6.554,,,,,,,
31,608,296.75,0.023,,,,,31,671,318.492,15.171,,,,,,,
32,653,318.46,21.695,,,,,32,676,319.851,1.359,,,,,,,
33,674,328.101,9.632,,,,,33,684,321.742,1.867,,,,,,,
34,717,344.367,16.265,,,,,34,688,323.046,1.304,,,,,,,
35,730,351.812,7.453,,,,,35,720,337.851,14.804,,,,,,,
36,733,353.562,1.75,,,,,36,735,344.398,6.531,,,,,,,
37,794,376.476,22.906,,,,,37,762,356.281,11.859,,,,,,,
38,862,414,37.539,,,,,38,779,364.781,8.5,,,,,,,
39,897,433.71,19.695,,,,,39,788,368.851,4.085,,,,,,,
40,966,464.773,31.062,,,,,40,814,384.414,15.546,,,,,,,
41,967,466.593,1.835,,,,,41,880,411.617,27.203,,,,,,,
42,1091,520.875,54.265,,,,,42,922,433.796,22.179,,,,,,,
43,1092,520.906,0.031,,,,,43,964,454.46,20.648,,,,,,,
44,1103,525.257,4.351,,,,,44,968,455.32,0.859,,,,,,,
45,1134,538.187,12.945,,,,,45,993,466.632,11.312,,,,,,,
46,1243,592.679,54.476,,,,,46,1024,480.632,14,,,,,,,
47,1245,593.195,0.5,,,,,47,1117,525.335,44.703,,,,,,,
48,1246,593.242,0.046,,,,,48,1248,583.351,58,,,,,,,
49,1265,602.898,9.656,,,,,49,1249,583.375,0.023,,,,,,,
,,,,,,,,,,,,,,,,,,
,,12.30073469,,,,,,,11.86010204,,,,,,,,,
