A hears from B,,,,,,Number, Packet Number, Received Time, Interval Between Receive,,,,,,,
Number, Packet Number, Received Time, Interval Between Receive,,,0,1,0.125,0,,,,,Interval,Number,Probability
0,1,0.289,0,,,1,5,2.789,2.679,,,,,2,23,0.469387755
1,2,0.132,0.125,,,2,8,3.914,1.109,,,,,4,39,0.795918367
2,8,2.765,2.632,,,3,13,6,2.085,,,,,6,45,0.918367347
3,9,3.773,1.007,,,4,17,7.601,1.601,,,,,8,47,0.959183673
4,14,6.046,2.273,,,5,19,9.296,1.695,,,,,10,48,0.979591837
5,18,7.648,1.601,,,6,23,12.414,3.117,,,,,12,49,1
6,20,9.351,1.703,,,7,24,12.593,0.187,,,,,,,
7,27,12.375,3.023,,,8,28,14.789,2.203,,,,,,,
8,31,14.554,2.179,,,9,41,21.023,6.218,,,,,,,
9,38,18.843,4.289,,,10,48,22.593,1.57,,,,,,,
10,42,21.031,2.187,,,11,53,25.304,2.71,,,,,,,
11,43,22.468,1.437,,,12,57,27.203,1.898,,,,,,,
12,50,25.335,2.867,,,13,59,28.585,1.382,,,,,,,
13,52,27.257,1.921,,,14,61,30.421,1.835,,,,,,,
14,54,28.664,1.406,,,15,63,31.718,1.296,,,,,,,
15,58,30.429,1.765,,,16,67,33.101,1.382,,,,,,,
16,62,31.75,1.32,,,17,68,33.289,0.203,,,,,,,
17,64,33.046,1.296,,,18,77,37.703,4.398,,,,,,,
18,65,33.07,0.023,,,19,86,43.085,5.382,,,,,,,
19,76,37.726,4.656,,,20,89,44.578,1.492,,,,,,,
20,83,42.937,5.21,,,21,95,48.617,4.039,,,,,,,
21,86,44.632,1.695,,,22,96,48.828,0.21,,,,,,,
22,91,48.562,3.929,,,23,98,50.023,1.195,,,,,,,
23,106,53.648,5.085,,,24,102,52.21,2.187,,,,,,,
24,119,59.968,6.32,,,25,120,60.101,7.89,,,,,,,
25,125,62.453,2.484,,,26,124,61.617,1.515,,,,,,,
26,131,65.367,2.914,,,27,130,65.5,3.882,,,,,,,
27,134,66.335,0.968,,,28,131,66.382,0.882,,,,,,,
28,144,70.164,3.828,,,29,135,70.179,3.781,,,,,,,
29,145,70.21,0.046,,,30,136,70.382,0.179,,,,,,,
30,148,71.835,1.625,,,31,137,71.89,1.5,,,,,,,
31,152,75.164,3.328,,,32,147,75.085,3.187,,,,,,,
32,158,77.757,2.593,,,33,151,77.796,2.71,,,,,,,
33,159,77.851,0.093,,,34,152,78.007,0.21,,,,,,,
34,161,79.234,1.382,,,35,156,79.414,1.406,,,,,,,
35,163,80.468,1.234,,,36,158,80.625,1.21,,,,,,,
36,167,82.953,2.484,,,37,163,83.007,2.382,,,,,,,
37,169,84.726,1.773,,,38,166,84.914,1.906,,,,,,,
38,173,88.367,3.64,,,39,172,88.585,3.679,,,,,,,
39,186,96.64,8.273,,,40,176,90.921,2.328,,,,,,,
40,187,98.453,1.812,,,41,183,96.695,5.773,,,,,,,
41,194,102.945,4.492,,,42,186,98.609,1.914,,,,,,,
42,205,106.523,3.578,,,43,196,103.203,4.593,,,,,,,
43,229,118.218,11.695,,,44,202,106.679,3.476,,,,,,,
44,243,124.453,6.234,,,45,218,118.492,11.812,,,,,,,
45,246,125.125,0.671,,,46,228,124.679,6.187,,,,,,,
46,247,125.148,0.023,,,47,229,125.179,0.5,,,,,,,
47,258,129.742,4.593,,,48,235,129.781,4.601,,,,,,,
48,259,131.14,1.398,,,49,238,131.296,1.5,,,,,,,
49,267,135.14,4,,,,,,,,,,,,,
