A hears from B (WJ from CH),,,,,,,,,,,,
Number, Packet Number, Received Time, Interval Between Receive,,,,,,,Interval,Number,Probability
0,17,7.5,0,,,,,,,3,26,0.530612245
1,21,9.054,1.539,,,,,,,6,39,0.795918367
2,29,13.601,4.546,,,,,,,9,42,0.857142857
3,40,17.21,3.609,,,,,,,12,45,0.918367347
4,52,21.132,3.921,,,,,,,15,48,0.979591837
5,57,23.093,1.96,,,,,,,18,49,1
6,64,25.039,1.96,,,,,,,,,
7,68,26.343,1.289,,,,,,,,,
8,77,30.601,4.257,,,,,,,,,
9,87,35.57,4.968,,,,,,,,,
10,98,38.5,2.929,,,,,,,,,
11,122,49.218,10.718,,,,,,,,,
12,127,53.171,3.953,,,,,,,,,
13,132,54.617,1.445,,,,,,,,,
14,149,63.242,8.625,,,,,,,,,
15,150,63.343,0.101,,,,,,,,,
16,154,64.328,0.984,,,,,,,,,
17,165,68.382,4.054,,,,,,,,,
18,167,69.664,1.281,,,,,,,,,
19,181,74.25,4.57,,,,,,,,,
20,200,80.523,6.273,,,,,,,,,
21,210,83.539,3.015,,,,,,,,,
22,217,86.851,3.328,,,,,,,,,
23,226,88.57,1.703,,,,,,,,,
24,227,88.593,0.023,,,,,,,,,
25,231,89.914,1.32,,,,,,,,,
26,235,92.375,2.46,,,,,,,,,
27,242,94.015,1.64,,,,,,,,,
28,245,95.453,1.437,,,,,,,,,
29,249,96.578,1.125,,,,,,,,,
30,274,109.226,12.648,,,,,,,,,
31,275,110.32,1.093,,,,,,,,,
32,299,122.734,12.414,,,,,,,,,
33,329,135.093,12.359,,,,,,,,,
34,333,136.789,1.695,,,,,,,,,
35,334,136.875,0.085,,,,,,,,,
36,335,137.953,1.078,,,,,,,,,
37,345,144.828,6.875,,,,,,,,,
38,350,145.25,0.421,,,,,,,,,
39,378,154.945,9.695,,,,,,,,,
40,418,170.679,15.718,,,,,,,,,
41,423,173.531,2.851,,,,,,,,,
42,444,183.031,9.5,,,,,,,,,
43,446,184.664,1.64,,,,,,,,,
44,457,189.062,4.39,,,,,,,,,
45,466,193.882,4.82,,,,,,,,,
46,471,196.125,2.242,,,,,,,,,
47,475,201.132,5.007,,,,,,,,,
48,484,201.156,0.023,,,,,,,,,
49,485,202.539,1.382,,,,,,,,,
,,,,,,,,,,,,
Number, Packet Number, Received Time, Interval Between Receive,,,,,,,,,
0,1,0.289,0,,,,,,,,,
1,2,0.031,0.023,,,,,,,,,
2,14,4.32,4.289,,,,,,,,,
3,22,7.453,3.132,,,,,,,,,
4,25,9,1.546,,,,,,,,,
5,38,13.539,4.539,,,,,,,,,
6,39,13.585,0.046,,,,,,,,,
7,47,17.085,3.5,,,,,,,,,
8,55,20.976,3.89,,,,,,,,,
9,59,22.984,2.007,,,,,,,,,
10,64,24.89,1.906,,,,,,,,,
11,65,24.914,0.023,,,,,,,,,
12,82,30.539,5.625,,,,,,,,,
13,94,34.296,3.757,,,,,,,,,
14,103,38.39,4.101,,,,,,,,,
15,120,45.281,6.882,,,,,,,,,
16,135,53.062,7.781,,,,,,,,,
17,136,53.132,0.085,,,,,,,,,
18,137,54.476,1.328,,,,,,,,,
19,170,68.335,13.859,,,,,,,,,
20,172,69.609,1.273,,,,,,,,,
21,184,73.32,3.71,,,,,,,,,
22,186,74.226,0.906,,,,,,,,,
23,192,77.89,3.664,,,,,,,,,
24,214,86.804,8.921,,,,,,,,,
25,217,88.531,1.718,,,,,,,,,
26,224,92.367,3.851,,,,,,,,,
27,227,93.89,1.507,,,,,,,,,
28,234,96.531,2.64,,,,,,,,,
29,265,110.257,13.726,,,,,,,,,
30,273,113.882,3.625,,,,,,,,,
31,298,122.742,8.867,,,,,,,,,
32,314,130.406,7.656,,,,,,,,,
33,329,134.984,4.578,,,,,,,,,
34,338,136.765,1.796,,,,,,,,,
35,342,137.89,1.109,,,,,,,,,
36,343,137.914,0.023,,,,,,,,,
37,364,144.695,6.781,,,,,,,,,
38,365,144.765,0.07,,,,,,,,,
39,366,144.843,0.078,,,,,,,,,
40,379,151.156,6.312,,,,,,,,,
41,385,172.179,21.023,,,,,,,,,
42,422,172.203,0.023,,,,,,,,,
43,428,173.492,1.289,,,,,,,,,
44,449,182.906,9.414,,,,,,,,,
45,451,184.492,1.585,,,,,,,,,
46,457,189.007,4.515,,,,,,,,,
47,468,193.906,4.898,,,,,,,,,
48,471,196.015,2.109,,,,,,,,,
49,473,196.875,0.859,,,,,,,,,
